Question,# of respondents ,parent_code_id,# of parent code,% of total interviewees,Parent_code_name,Parent_code_definition,subcode_number,subcode_name,subcode_definition,# subcode respondents ,% of  subcode per parent code respondents,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC1,40,100.00%,Education and Knowledge Sharing ,"Emphasis on the role of accurate information, preparation, and integration in reducing risk and enhancing benefits of psychedelics.",1,Harm Reduction Education:,"Education on sourcing, dosage, drug interactions, testing, and safe practices.",40,100.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC1,40,100.00%,Education and Knowledge Sharing ,"Emphasis on the role of accurate information, preparation, and integration in reducing risk and enhancing benefits of psychedelics.",2,Community Education Spaces ,"Peer-to-peer education, societies, workshops, or circles promoting safe practices.",40,100.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC1,40,100.00%,Education and Knowledge Sharing ,"Emphasis on the role of accurate information, preparation, and integration in reducing risk and enhancing benefits of psychedelics.",3,Countering Misinformation and Hype,Concerns about inaccurate or insufficient knowledge in broader society or among new user,32,80.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC2,40,100.00%,Personal & Collective Healing,"Safety as the foundation for psychedelics’ capacity to support growth, self-discovery, trauma healing and consciousness expansion",1,Safe Container for Transformation,Psychedelics as catalysts for profound postive change when held safely ,37,92.50%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC2,40,100.00%,Personal & Collective Healing,"Safety as the foundation for psychedelics’ capacity to support growth, self-discovery, trauma healing and consciousness expansion",2,Integration Support,Importance of integration circles and processing difficult experiences,37,92.50%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC2,40,100.00%,Personal & Collective Healing,"Safety as the foundation for psychedelics’ capacity to support growth, self-discovery, trauma healing and consciousness expansion",3,Risk of Harm / Trauma,"Concerns about psychosis, bad trips, spiritual emergencies, overdose, unsafe contexts or worsening of trauma.",40,100.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC2,40,100.00%,Personal & Collective Healing,"Safety as the foundation for psychedelics’ capacity to support growth, self-discovery, trauma healing and consciousness expansion",4,Neurodivergent & Individualized Needs,Attention to tailoring safety for neurodivergent or vulnerable groups,10,25.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC3,40,100.00%,Community Responsibility & Ethics,"Emphasis on collective accountability, ethical frameworks, and cultural responsibility in psychedelic use.",1,Community Accountability,"Responsibility to protect participants, share best practices, and respond to harms.",39,97.50%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC3,40,100.00%,Community Responsibility & Ethics,"Emphasis on collective accountability, ethical frameworks, and cultural responsibility in psychedelic use.",2,Facilitator Ethics,"Ensuring informed consent, proper training, and safe boundaries.",38,95.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC3,40,100.00%,Community Responsibility & Ethics,"Emphasis on collective accountability, ethical frameworks, and cultural responsibility in psychedelic use.",3,Watchdog and Oversight Role ,"Ensuring accountability, transparency, and auditable ethics in providers/organizations",33,82.50%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC3,40,100.00%,Community Responsibility & Ethics,"Emphasis on collective accountability, ethical frameworks, and cultural responsibility in psychedelic use.",4,Preventing Exploitation & Misconduct,Recognizing how bad actors can cause harm and damage legitimacy,38,95.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC4,40,100.00%,Risk Management & Prevention,Preventing or responding to harm through practical strategies and systemic approaches,1,Overdose & Physical Safety:,"Preventing accidents, overdoses, unsafe sourcing, unsafe combinations or medical complications ",37,92.50%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC4,40,100.00%,Risk Management & Prevention,Preventing or responding to harm through practical strategies and systemic approaches,2,Legal & Criminalization Risks,"Safety concerns linked to prohibition, legal status, and stigma",28,70.00%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC4,40,100.00%,Risk Management & Prevention,Preventing or responding to harm through practical strategies and systemic approaches,3,Environmental Safety,"Emphasis on safe spaces, settings, facilitators, ceremonies, or public spaces like festivals.",39,97.50%,,,,,,,
Why does psychedelic safety personally matter to you and your community?,40,Q5_PC5,40,100.00%,Mental Health & Medical Concerns,Recognition of the intersection between psychedelics and mental health treatment,1,Mental Health Support,"Need for support structures to address trauma, anxiety, or challenging outcomes",40,100.00%,,,,,,,
